SrcAddr,DstAddr,TimeWindow,Packets,Timestamp
10.45.0.2,157.90.35.62,3,142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:20; 2022-10-04 18:21; 2022-10-04 18:22; 2022-10-04 18:23
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:23; 2022-10-04 18:24; 2022-10-04 18:25; 2022-10-04 18:26
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:26; 2022-10-04 18:27; 2022-10-04 18:28; 2022-10-04 18:29
10.45.0.2,157.90.35.62,3,142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing; 142:outgoing,2022-10-04 18:29; 2022-10-04 18:30; 2022-10-04 18:31; 2022-10-04 18:32
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing,2022-10-04 18:32; 2022-10-04 18:33; 2022-10-04 18:34; 2022-10-04 18:35
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:35; 2022-10-04 18:36; 2022-10-04 18:37; 2022-10-04 18:38
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:38; 2022-10-04 18:39; 2022-10-04 18:40; 2022-10-04 18:41
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:41; 2022-10-04 18:42; 2022-10-04 18:43; 2022-10-04 18:44
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:44; 2022-10-04 18:45; 2022-10-04 18:46; 2022-10-04 18:47
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:47; 2022-10-04 18:48; 2022-10-04 18:49; 2022-10-04 18:50
10.45.0.2,157.90.35.62,3,142:incoming; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:50; 2022-10-04 18:51; 2022-10-04 18:52; 2022-10-04 18:53
