label,total_packets,num_incoming,num_outgoing,fraction_incoming,fraction_outgoing,incoming_mean_size,incoming_std_size,outgoing_mean_size,outgoing_std_size,incoming_iats,incoming_max_iat,incoming_mean_iat,incoming_std_iat,incoming_q3_iat,outgoing_iats,outgoing_max_iat,outgoing_mean_iat,outgoing_std_iat,outgoing_q3_iat,chunk_std,chunk_mean,chunk_median,chunk_max,first_10_incoming,first_10_outgoing,last_10_incoming,last_10_outgoing,packet_1_length_direction,packet_2_length_direction,packet_3_length_direction,packet_4_length_direction,packet_5_length_direction,packet_6_length_direction,packet_7_length_direction,packet_8_length_direction,packet_9_length_direction,packet_10_length_direction,incoming_q1_time,incoming_q2_time,incoming_q3_time,incoming_total_time,outgoing_q1_time,outgoing_q2_time,outgoing_q3_time,outgoing_total_time,max_burst,mean_burst,num_bursts
B,100,60,40,0.6,0.4,115.0,35.185224171518364,83.8,17.895809565370325,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",10.0,3.2203389830508473,4.672558899013635,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",10.0,4.871794871794871,4.9983560742610065,10.0,1.0954451150103321,4.0,4.0,5,6,4,6,4,-132,-147,66,101,-66,-132,-147,66,101,-66,1666386920.5,1666386968.0,1666387015.5,190.0,1666386920.5,1666386968.0,1666387015.5,190.0,3,2.857142857142857,21
M,100,30,30,0.3,0.3,110.13333333333334,87.38410737784201,96.66666666666667,41.24021769529782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.6733200530681511,2.0,3.0,4,4,6,0,0,66,-66,66,74,-74,66,-81,66,90,-66,1666386946.0,1666386946.0,1666386946.0,0.0,1666386946.0,1666386946.0,1666386946.0,0.0,4,1.5,20
B,100,15,13,0.15,0.13,107.0,63.944767833915336,119.53846153846153,94.46091205004026,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.7126976771553504,1.0,0.0,5,6,4,0,0,-66,-74,74,-66,66,-90,-66,66,-93,66,1666386946.0,1666386946.0,1666386946.0,0.0,1666386946.0,1666386946.0,1666386946.0,0.0,3,1.6666666666666667,9
B,100,100,0,1.0,0.0,42.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 11.0, 8.0, -91.0, 0.0, 1.0, 0.0, 12.0, 0.0, 18.0, 0.0, 6.0, 0.0, 4.0, 0.0, 8.0, 0.0, 6.0, 0.0, 10.0, 0.0, 4.0, 0.0, 3.0, 11.0, 8.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 11.0, 0.0, 13.0, 0.0, 3.0, 0.0, 8.0, 0.0, 13.0, 0.0, 3.0, 0.0, 4.0, 0.0, 14.0, 0.0, 9.0, 0.0, 1.0, 0.0, 6.0, 0.0, 19.0, 0.0, 0.0, 0.0, 4.0, 0.0, -221.0, 0.0, 18.0, 0.0, 12.0, 0.0, 28.0, 0.0, 8.0, 0.0, 20.0, 0.0, 3.0, 11.0, 8.0, 5.0, 0.0, 0.0, 0.0, 27.0, 0.0, 8.0, 0.0, 20.0, 0.0, 14.0, 0.0, 16.0, 0.0, 19.0]",28.0,1.505050505050505,25.358191049053115,8.0,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,1666386951.0,1666386992.0,1666387044.75,221.0,0.0,0.0,0.0,0.0,100,100.0,1
B,100,100,0,1.0,0.0,53.02,42.530690095506316,0.0,0.0,"[1.0, 0.0, 119.0, 121.0, 120.0, -361.0, 1.0, 0.0, 4.0, 0.0, 26.0, 0.0, 2.0, 0.0, 18.0, 0.0, 11.0, 0.0, 3.0, 0.0, 16.0, 0.0, 8.0, 0.0, 12.0, 0.0, 11.0, 0.0, 6.0, 0.0, 2.0, 16.0, 0.0, 6.0, 0.0, 4.0, 0.0, 2.0, 22.0, 0.0, 3.0, 0.0, 6.0, 0.0, 36.0, 0.0, 11.0, 0.0, 15.0, 19.0, 0.0, 18.0, 0.0, 28.0, 0.0, 22.0, 0.0, 23.0, 0.0, 10.0, 19.0, 0.0, -380.0, 1.0, 0.0, 4.0, 0.0, 26.0, 0.0, 2.0, 0.0, 29.0, 0.0, 3.0, 0.0, 24.0, 0.0, 12.0, 0.0, 17.0, 0.0, 2.0, 16.0, 0.0, 10.0, 0.0, 24.0, 0.0, 3.0, 0.0, 42.0, 0.0, 11.0, 0.0, 15.0, 19.0, 0.0, 18.0, 0.0]",121.0,2.808080808080808,57.79110357029237,15.0,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-42,-221,-221,-42,-42,-42,-42,-221,-221,-42,1667300667.0,1667300733.0,1667300822.75,380.0,0.0,0.0,0.0,0.0,100,100.0,1
B,100,0,11,0.0,0.11,0.0,0.0,201.0,0.0,[],0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,201,201,201,201,201,201,201,201,201,201,0.0,0.0,0.0,0.0,1667300606.0,1667300606.0,1667300606.0,0.0,0,0.0,0
B,100,60,40,0.6,0.4,115.0,35.185224171518364,83.5,17.5,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 11.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",11.0,3.23728813559322,4.698860240637688,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 11.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",11.0,4.897435897435898,5.027079856827073,10.0,1.0954451150103321,4.0,4.0,5,6,4,6,4,-132,-147,66,101,-66,-132,-147,66,101,-66,1667300661.5,1667300709.0,1667300756.75,191.0,1667300661.5,1667300709.0,1667300756.75,191.0,3,2.857142857142857,21
B,100,60,40,0.6,0.4,115.0,35.185224171518364,83.8,17.895809565370325,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",10.0,3.2203389830508473,4.672558899013635,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",10.0,4.871794871794871,4.9983560742610065,10.0,1.0954451150103321,4.0,4.0,5,6,4,6,4,-132,-147,66,101,-66,-132,-147,66,101,-66,1667301052.5,1667301100.0,1667301147.5,190.0,1667301052.5,1667301100.0,1667301147.5,190.0,3,2.857142857142857,21
B,100,100,0,1.0,0.0,42.28,2.7859648238985355,0.0,0.0,"[71.0, 120.0, 120.0, 120.0, 120.0, -565.0, 0.0, 36.0, 0.0, 9.0, 0.0, 40.0, 3.0, 0.0, 2.0, 0.0, 39.0, 0.0, 1.0, 0.0, 38.0, 0.0, 2.0, 0.0, 35.0, 1.0, 0.0, 6.0, 0.0, 26.0, 0.0, 7.0, 0.0, 7.0, 0.0, 32.0, 0.0, 10.0, 0.0, 29.0, 0.0, 2.0, 9.0, 0.0, 1.0, 0.0, 27.0, 0.0, 12.0, 0.0, 27.0, 0.0, 10.0, 0.0, 5.0, 0.0, 26.0, 0.0, 3.0, 11.0, 0.0, 4.0, 0.0, 10.0, 0.0, 17.0, 0.0, 9.0, 0.0, 14.0, 0.0, 9.0, 0.0, 3.0, 0.0, 26.0, 0.0, 8.0, 0.0, 3.0, 0.0, 6.0, 9.0, 0.0, 13.0, 0.0, -587.0, 0.0, 36.0, 0.0, 9.0, 0.0, 40.0, 3.0, 0.0, 2.0, 0.0, 39.0, 0.0]",120.0,1.1616161616161615,86.75982255346787,10.5,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-70,-42,-42,-42,-42,-42,-42,-42,-42,-42,1667301130.0,1667301309.5,1667301461.0,587.0,0.0,0.0,0.0,0.0,100,100.0,1
B,100,60,40,0.6,0.4,115.0,35.185224171518364,83.5,17.5,"[0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0]",10.0,3.2203389830508473,4.672558899013635,10.0,"[0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0, 10.0, 0.0]",10.0,4.871794871794871,4.9983560742610065,10.0,1.0954451150103321,4.0,4.0,5,6,4,6,4,-132,-147,66,101,-66,-132,-147,66,101,-66,1667301652.5,1667301700.0,1667301747.5,190.0,1667301652.5,1667301700.0,1667301747.5,190.0,3,2.857142857142857,21
B,100,100,0,1.0,0.0,42.56,3.9199999999999986,0.0,0.0,"[116.0, 4.0, 121.0, 120.0, 120.0, -566.0, 0.0, 8.0, 0.0, 9.0, 0.0, 9.0, 0.0, 26.0, 0.0, 2.0, 0.0, 3.0, 0.0, 21.0, 0.0, 5.0, 0.0, 2.0, 21.0, 0.0, 12.0, 0.0, 23.0, 0.0, 17.0, 0.0, 2.0, 0.0, 16.0, 0.0, 24.0, 0.0, 1.0, 4.0, 5.0, 0.0, 32.0, 0.0, 3.0, 0.0, 12.0, 0.0, 23.0, 0.0, 2.0, 0.0, 33.0, 0.0, 9.0, 0.0, 2.0, 24.0, 0.0, 16.0, 0.0, 18.0, 0.0, 2.0, 0.0, 22.0, 0.0, 22.0, 0.0, 12.0, 0.0, 4.0, 30.0, 0.0, 0.0, 0.0, 1.0, 0.0, 33.0, 0.0, 4.0, 0.0, 10.0, 0.0, 20.0, 0.0, 22.0, 5.0, 0.0, 10.0, 0.0, -581.0, 0.0, 8.0, 0.0, 18.0, 0.0, 26.0, 0.0]",121.0,-0.3333333333333333,85.74309761070444,14.0,[],0.0,0.0,0.0,0.0,1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-42,-70,-42,-42,-42,-42,-42,-42,-42,-42,1667301684.0,1667301844.5,1667302031.0,581.0,0.0,0.0,0.0,0.0,100,100.0,1
