total_packets,num_incoming,num_outgoing,fraction_incoming,fraction_outgoing,mean_size,std_size,incoming_iat,outgoing_iat,chunk_std,chunk_mean,chunk_median,chunk_max,first_10_incoming,first_10_outgoing,last_10_incoming,last_10_outgoing,sum_first_10_packets,max_burst,mean_burst,num_bursts
100,9,6,0.09,0.06,83.5,17.5,"{'max_iat': np.float64(10.0), 'mean_iat': np.float64(2.5), 'std_iat': np.float64(4.330127018922194), 'q3_iat': np.float64(2.5)}","{'max_iat': np.float64(10.0), 'mean_iat': np.float64(4.0), 'std_iat': np.float64(4.898979485566356), 'q3_iat': np.float64(10.0)}",1.4047538337136984,0.6,0.0,5,6,4,0,0,-356,3,2.25,4
100,60,40,0.6,0.4,83.8,17.895809565370325,"{'max_iat': np.float64(10.0), 'mean_iat': np.float64(3.2203389830508473), 'std_iat': np.float64(4.672558899013635), 'q3_iat': np.float64(10.0)}","{'max_iat': np.float64(10.0), 'mean_iat': np.float64(4.871794871794871), 'std_iat': np.float64(4.9983560742610065), 'q3_iat': np.float64(10.0)}",1.0954451150103321,4.0,4.0,5,6,4,6,4,-356,3,2.857142857142857,21
100,30,30,0.3,0.3,96.66666666666667,41.24021769529782,"{'max_iat': np.float64(0.0), 'mean_iat': np.float64(0.0), 'std_iat': np.float64(0.0), 'q3_iat': np.float64(0.0)}","{'max_iat': np.float64(0.0), 'mean_iat': np.float64(0.0), 'std_iat': np.float64(0.0), 'q3_iat': np.float64(0.0)}",1.6733200530681511,2.0,3.0,4,4,6,0,0,141,4,1.5,20
100,15,13,0.15,0.13,119.53846153846153,94.46091205004026,"{'max_iat': np.float64(0.0), 'mean_iat': np.float64(0.0), 'std_iat': np.float64(0.0), 'q3_iat': np.float64(0.0)}","{'max_iat': np.float64(0.0), 'mean_iat': np.float64(0.0), 'std_iat': np.float64(0.0), 'q3_iat': np.float64(0.0)}",1.7126976771553504,1.0,0.0,5,6,4,0,0,-183,3,1.6666666666666667,9
100,100,0,1.0,0.0,0.0,0.0,"{'max_iat': np.float64(28.0), 'mean_iat': np.float64(0.21212121212121213), 'std_iat': np.float64(27.02571642021191), 'q3_iat': np.float64(8.0)}","{'max_iat': 0, 'mean_iat': 0, 'std_iat': 0, 'q3_iat': 0}",1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-420,100,100.0,1
100,100,0,1.0,0.0,0.0,0.0,"{'max_iat': np.float64(46.0), 'mean_iat': np.float64(0.31313131313131315), 'std_iat': np.float64(21.34121372664149), 'q3_iat': np.float64(3.0)}","{'max_iat': 0, 'mean_iat': 0, 'std_iat': 0, 'q3_iat': 0}",1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-1136,100,100.0,1
100,0,11,0.0,0.11,201.0,0.0,"{'max_iat': 0, 'mean_iat': 0, 'std_iat': 0, 'q3_iat': 0}","{'max_iat': np.float64(0.0), 'mean_iat': np.float64(0.0), 'std_iat': np.float64(0.0), 'q3_iat': np.float64(0.0)}",0.0,0.0,0.0,0,0,10,0,0,2010,0,0.0,0
100,54,36,0.54,0.36,83.5,17.5,"{'max_iat': np.float64(10.0), 'mean_iat': np.float64(1.509433962264151), 'std_iat': np.float64(12.192825978417746), 'q3_iat': np.float64(10.0)}","{'max_iat': np.float64(10.0), 'mean_iat': np.float64(2.2857142857142856), 'std_iat': np.float64(14.94479637785374), 'q3_iat': np.float64(10.0)}",1.5832456116050557,3.6,4.0,5,6,4,0,0,-356,3,2.8421052631578947,19
100,60,40,0.6,0.4,83.5,17.5,"{'max_iat': np.float64(11.0), 'mean_iat': np.float64(3.23728813559322), 'std_iat': np.float64(4.698860240637688), 'q3_iat': np.float64(10.0)}","{'max_iat': np.float64(11.0), 'mean_iat': np.float64(4.897435897435898), 'std_iat': np.float64(5.027079856827073), 'q3_iat': np.float64(10.0)}",1.0954451150103321,4.0,4.0,5,6,4,6,4,-356,3,2.857142857142857,21
100,100,0,1.0,0.0,0.0,0.0,"{'max_iat': np.float64(121.0), 'mean_iat': np.float64(2.303030303030303), 'std_iat': np.float64(59.21412173662196), 'q3_iat': np.float64(18.5)}","{'max_iat': 0, 'mean_iat': 0, 'std_iat': 0, 'q3_iat': 0}",1.2472191289246473,6.666666666666667,7.0,7,10,0,10,0,-420,100,100.0,1
