time_window,flow_id,packets,timestamp
2022-10-21 23:10:00,172.21.0.100 <-> 172.21.0.114,"132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 113,1 66,-1","2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17"
2022-10-21 23:10:00,172.21.0.104 <-> 172.21.0.114,"66,1 66,-1 66,1 74,1 74,-1 66,1 81,-1 66,1 90,1 66,-1 93,1 66,-1 79,1 66,-1 169,1 66,-1 75,1 66,-1 188,1 66,-1 75,-1 182,-1 386,-1 66,1 161,1 125,1 66,-1 97,-1 229,-1 66,1 66,1 66,1 74,1 66,1 66,1 90,1 93,1 79,1 169,1 75,1 188,1 66,1 161,1 125,1 66,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0","2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2022-10-21 23:10:00,172.21.0.105 <-> 172.21.0.114,"66,-1 74,-1 74,1 66,-1 66,1 90,-1 66,-1 66,1 93,-1 66,1 79,-1 66,1 200,-1 81,1 66,-1 75,-1 195,-1 66,1 75,1 131,1 376,1 66,-1 119,-1 284,-1 66,1 137,1 284,1 66,-1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0","2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2022-10-21 23:10:00,nan <-> nan,"42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1","2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:14,2022-10-21 23:14,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:15,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:16,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:17,2022-10-21 23:18,2022-10-21 23:18,2022-10-21 23:18"
2022-11-01 12:00:00,nan <-> nan,"42,-1 221,-1 221,-1 42,-1 42,-1 42,-1 42,-1 221,-1 221,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 70,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 221,-1 221,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1","2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:05,2022-11-01 12:07,2022-11-01 12:09,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:08,2022-11-01 12:08,2022-11-01 12:08,2022-11-01 12:08,2022-11-01 12:08,2022-11-01 12:08,2022-11-01 12:09,2022-11-01 12:09,2022-11-01 12:09,2022-11-01 12:09,2022-11-01 12:09,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:07,2022-11-01 12:08,2022-11-01 12:08"
2022-11-01 12:00:00,172.21.0.1 <-> 224.0.0.251,"201,1 201,1 201,1 201,1 201,1 201,1 201,1 201,1 201,1 201,1 201,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0","2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2022-11-01 12:00:00,172.21.0.100 <-> 172.21.0.114,"132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1","2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:03,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:04,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:05,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06,2022-11-01 12:06"
2022-11-01 12:10:00,172.21.0.100 <-> 172.21.0.114,"132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 113,1 66,-1","2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13"
2022-11-01 12:10:00,nan <-> nan,"70,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1 42,-1","2022-11-01 12:10,2022-11-01 12:11,2022-11-01 12:13,2022-11-01 12:15,2022-11-01 12:17,2022-11-01 12:19,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:12,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:13,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:14,2022-11-01 12:15,2022-11-01 12:15,2022-11-01 12:15,2022-11-01 12:15,2022-11-01 12:15,2022-11-01 12:15,2022-11-01 12:15,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:16,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:17,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:18,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:19,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:10,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:11,2022-11-01 12:12,2022-11-01 12:12"
2022-11-01 12:20:00,172.21.0.100 <-> 172.21.0.114,"132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1 132,-1 147,-1 66,1 101,1 66,-1","2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:20,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:21,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:22,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23,2022-11-01 12:23"
